gene_id,T1_FPKM,T2_FPKM,T3_FPKM,T4_FPKM,T5_FPKM,T6_FPKM,T7_FPKM,T8_FPKM,T9_FPKM,T10_FPKM,T11_FPKM,T12_FPKM,T13_FPKM,T14_FPKM,T15_FPKM
YAR020C,877.475,118.423,109.786,46.056,561.601,564.897,329.546,964.001,913.647,560.4185,106.475,214.351,928.022,136.829,155.017
YAR023C,271.879,254.938,174.994,135.664,18.189,189.088,167.357,150.255,214.078,195.25,325.334,25.511,198.808,239.897,335.824
YAR027W,145.961,113.184,844.758,666.081,76.433,118.302,112.625,112.248,110.566,538.6395,168.418,170.629,161.002,183.739,185.623
YAR028W,146.835,164.744,171.372,333.656,173.308,112.035,130.344,146.649,198.296,75.69149999999999,149.566,192.506,202.805,15.542,176.428
YAR029W,131.749,149.234,279.993,197.331,375.833,100.848,237.503,260.532,163.109,321.7655,116.975,159.446,33.135,295.837,18.62
YAR030C,479.669,375.403,507.121,397.116,701.708,60.885,720.582,592.839,131.298,706.404,105.932,20.215,100.023,897.567,753.238
YAR031W,242.131,200.528,142.572,94.699,138.567,174.993,192.867,206.796,186.214,118.5725,37.759,425.277,284.218,293.022,301.275
YAR033W,18.688,186.641,157.286,184.751,168.426,149.027,169.447,153.065,205.134,224.7785,270.934,308.811,163.911,177.623,220.971
YAR035C-A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239.519,0.0,0.0,540.307,392.788,204.067,0.0,0.0
YAR035W,515.746,344.959,278.914,153.037,184.235,250.009,290.812,373.068,466.685,390.3075,477.656,200.754,239.359,126.058,100.483
YAR042W,299.547,256.052,293.841,287.626,149.952,223.326,18.239,186.135,21.295,132.5555,245.886,319.921,309.652,310.365,297.965
YAR047C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YAR050W,357.753,246.054,197.182,0.945256,374.476,402.547,279.136,32.656,2.508,287.3345,31.809,429.402,308.853,40.316,355.049
YAR053W,125.657,859.189,725.407,852.077,626.671,870.925,113.261,658.863,152.599,391.556,505.099,688.487,143.077,712.521,538.152
YAR060C,458.628,313.288,352.676,155.347,36.596,357.264,488.544,274.828,342.416,331.609,368.351,602.507,417.365,364.082,392.834
YAR061W,732.855,693.379,390.277,916.853,402.036,527.138,115.598,45.288,947.308,214.048,203.811,177.798,115.466,914.223,100.697
YAR062W,269.358,279.116,254.358,123.025,217.761,188.619,264.082,35.043,300.224,265.2085,177.109,465.784,401.351,377.284,352.484
YAR064W,611.536,120.205,100.017,145.125,609.966,158.931,651.427,870.336,971.078,543.3995,110.608,603.065,835.502,901.586,654.759
YAR066W,172.068,177.958,213.303,272.558,161.819,201.153,199.406,235.169,146.927,84.266,117.413,124.751,129.625,131.176,165.124
