Gene_ID	Expression
YCL034W	141.041
YCL035C	2311.56
YCL036W	150.346
YCL037C	15.111
YCL038C	764.284
YCL039W	491.311
YCL040W	1430.56
YCL041C	440.809
YCL042W	279.197
YCL043C	439.486
YCL044C	36.943
YCL045C	585.187
YCL046W	464.647
YCL047C	462.836
YCL048W	633.906
YCL048W-A	4286.42
YCL049C	633.651
YCL050C	240.12
YCL051W	241.005
YCL052C	137.574
YCL054W	272.339
YCL055W	899.448
YCL056C	216.82
YCL057C-A	929.34
YCL057W	904.338
YCL058C	447.635
YCL058W-A	410.757
YCL059C	554.334
YCL061C	152.653
YCL063W	242.684
YCL064C	846.654
YCL065W	33.15
YCL066W	663.805
YCL067C	152.224
YCL068C	574.445
YCL069W	283.678
YCL073C	498.087
YCL074W	0
YCL075W	0
YCL076W	0
YCR001W	261.244
YCR002C	104.255
YCR003W	635.955
YCR004C	1209.09
YCR005C	172.089
YCR006C	404.804
YCR007C	490.167
YCR008W	364.361
YCR009C	296.479
YCR010C	1626.7
YCR011C	745.082
YCR012W	7982.2
YCR013C	5689.34
YCR014C	544.163
YCR015C	283.646
YCR016W	329.739
YCR017C	675.533
YCR018C	286.198
YCR018C-A	502.504
YCR019W	418.053
YCR020C	145.051
YCR020C-A	370.822
YCR020W-B	181.815
YCR021C	471
YCR022C	245.977
YCR023C	416.961
YCR024C	138.738
YCR024C-A	33944.1
YCR024C-B	6305.19
YCR025C	151.952
YCR026C	441.593
YCR027C	365.607
YCR028C	434.251
YCR028C-A	789.286
YCR030C	782.428
YCR031C	1275.53
YCR032W	125.141
YCR033W	261.745
YCR034W	574.297
YCR035C	567.663
YCR036W	111.466
YCR037C	284.456
YCR038C	129.665
YCR038W-A	617.179
YCR039C	152.224
YCR040W	662.928
YCR041W	609.485
YCR042C	344.277
YCR043C	824.168
YCR044C	540.416
YCR045C	157.374
YCR045W-A	221.004
YCR046C	123.469
YCR047C	743.803
YCR047W-A	125.231
YCR048W	21.498
YCR049C	12.509
YCR050C	414.662
YCR051W	293.763
YCR052W	357.855
YCR053W	140.99
YCR054C	235.417
YCR057C	124.151
YCR059C	659.885
YCR060W	161.062
YCR061W	409.426
YCR063W	192.973
YCR064C	777.131
YCR065W	160.349
YCR066W	157.069
YCR067C	197.181
YCR068W	483.935
YCR069W	221.131
YCR071C	944.221
YCR072C	742.797
YCR073C	923.985
YCR073W-A	140.26
YCR075C	619.796
YCR075W-A	398.19
YCR076C	173.452
YCR077C	492.991
YCR079W	78.692
YCR081C-A	444.327
YCR081W	909.404
YCR082W	991.591
YCR083W	700.058
YCR084C	766.458
YCR085W	115.884
YCR086W	616.409
YCR087C-A	240.926
YCR087W	223.988
YCR088W	714.516
YCR089W	522.622
YCR090C	101.419
YCR091W	321.449
YCR092C	859.626
YCR093W	228.903
YCR094W	362.127
YCR095C	397.705
YCR095W-A	422.096
YCR096C	192.628
YCR097W	0
YCR097W-A	383.749
YCR098C	990.284
YCR099C	255.015
YCR100C	123.055
YCR101C	103.955
YCR102C	491.105
YCR102W-A	207.355
YCR104W	111.078
YCR105W	0
YCR106W	0.0381638
YCR107W	326.193
YCR108C	177.638
YDL001W	402.843
YDL002C	122.449
YDL003W	111.736
YDL004W	1015.47
YDL005C	101.918
YDL006W	674.919
YDL007C-A	402.748
YDL007W	439.638
YDL008W	215.951
YDL009C	128.758
YDL010W	102.641
YDL011C	744.468
YDL012C	335.632
YDL013W	359.621
YDL014W	785.682
YDL015C	201.146
YDL016C	408.083
YDL017W	186.421
YDL018C	915.715
YDL019C	497.034
YDL020C	350.229
YDL021W	109.908
YDL022C-A	239.457
YDL022W	534.288
YDL023C	443.753
YDL024C	178.339
YDL025C	58.37
YDL025W-A	1048.01
YDL026W	104.14
YDL027C	132.771
YDL028C	201.891
YDL029W	265.92
YDL030W	240.842
YDL031W	409.002
YDL032W	152.118
YDL033C	164.854
YDL034W	516.359
YDL035C	408.235
YDL036C	233.513
YDL037C	301.889
YDL039C	402.515
YDL040C	430.698
YDL041W	257.288
YDL042C	168.425
YDL043C	618.719
YDL044C	27.232
YDL045C	797.282
YDL045W-A	242.959
YDL046W	965.668
YDL047W	112.061
YDL048C	543.775
YDL049C	258.382
YDL050C	129.166
YDL051W	138.041
YDL052C	315.298
YDL053C	200.654
YDL054C	113.276
YDL055C	914.157
YDL056W	227.159
YDL057W	536.691
YDL058W	184.887
YDL059C	474.265
YDL060W	315.839
YDL061C	6309.97
YDL062W	13.162
YDL063C	169.755
YDL064W	160.626
YDL065C	153.559
YDL066W	137.127
YDL067C	4509.76
YDL068W	225.637
YDL069C	176.483
YDL070W	126.588
YDL071C	362.044
YDL072C	483.364
YDL073W	217.142
YDL074C	674.274
YDL075W	2572.94
YDL076C	61.83
YDL077C	168.877
YDL078C	1052.72
YDL079C	984.667
YDL080C	440.582
YDL081C	2953.35
YDL082W	334.388
YDL083C	1127.46
YDL084W	306.904
YDL085C-A	309.235
YDL085W	353.35
YDL086C-A	189.837
YDL086W	192.388
YDL087C	257.169
YDL088C	568.622
YDL089W	318.498
YDL090C	440.226
YDL091C	985.501
YDL092W	181.468
YDL093W	152.429
YDL094C	658.744
YDL095W	482.714
YDL096C	496.253
YDL097C	351.61
YDL098C	282.437
YDL099W	194.912
YDL100C	385.802
YDL101C	280.779
YDL102W	128.977
YDL103C	616.541
YDL104C	31.419
YDL105W	116.747
YDL106C	447.961
YDL107W	363.774
YDL108W	53.844
YDL109C	125.833
YDL110C	1945.08
YDL111C	562.898
YDL112W	160.814
YDL113C	606.279
YDL114W	569.089
YDL114W-A	280.647
YDL115C	129.084
YDL116W	411.555
YDL117W	313.729
YDL118W	262.009
YDL119C	182.191
YDL120W	157.218
YDL121C	204.338
YDL122W	450.911
YDL123W	233.053
YDL124W	1024.92
YDL125C	1184.44
YDL126C	685.672
YDL127W	148.932
YDL128W	178.263
YDL129W	326.965
YDL130W	1606.69
YDL130W-A	4574.29
YDL131W	182.916
YDL132W	110.341
YDL133C-A	57010.4
YDL133W	659.497
YDL134C	199.803
YDL135C	186.437
YDL136W	2060.73
YDL137W	1420.54
YDL138W	323.826
YDL139C	226.251
YDL140C	536.832
YDL141W	270.851
YDL142C	58.222
YDL143W	176.539
YDL144C	118.152
YDL145C	611.241
YDL146W	150.769
YDL147W	488.715
YDL148C	196.861
YDL149W	267.791
YDL150W	289.764
YDL151C	253.592
YDL152W	244.061
YDL153C	541.169
YDL154W	138.278
